Table 40: Expected Change in Gasoline Prices During the Next 5 Years 
Month,Year,Increase,Remain the Same,Decrease,DK; NA,Median,Mean,
8,2011,69,23,8,0,49.7,66.2,
9,2011,67,27,5,1,45.1,59.9,
10,2011,66,23,10,1,39.5,57.1,
11,2011,70,23,6,1,49.6,58.8,
12,2011,68,26,5,1,49.5,61.4,
1,2012,80,16,3,1,50.4,73.9,
2,2012,80,16,3,1,55.3,77.6,
3,2012,77,14,7,2,63.4,79,
4,2012,69,19,10,2,50.1,68.1,
5,2012,67,22,8,3,49.7,59.2,
6,2012,66,24,9,1,40.5,56.7,
7,2012,63,29,7,1,49.8,60.2,
8,2012,71,20,6,3,49.9,63.7,
9,2012,72,16,10,2,45,48.5,
10,2012,67,20,10,3,49.5,57.8,
11,2012,61,21,14,4,30.2,50.9,
12,2012,66,26,7,1,45.3,62.3,
1,2013,71,23,6,0,49.7,63.8,
2,2013,78,17,4,1,50.4,77.8,
3,2013,70,22,7,1,39.9,57.5,
4,2013,73,20,5,2,50,62,
5,2013,68,25,5,2,39.9,54.8,
6,2013,71,22,6,1,40.4,53.2,
7,2013,74,22,3,1,49.6,58.4,
8,2013,76,19,4,1,49.8,64.2,
9,2013,75,20,4,1,49.5,56.5,
10,2013,67,27,5,1,30.3,53,
11,2013,63,26,10,1,32.6,50.1,
12,2013,69,24,6,1,49.5,58,
1,2014,63,31,5,1,22.8,47.8,
2,2014,66,26,6,2,30.2,51.9,
3,2014,76,20,3,1,45.4,58,
4,2014,77,18,4,1,49.7,61,
5,2014,74,20,4,2,49.7,61,
6,2014,79,17,3,1,49.8,62.3,
7,2014,81,16,3,0,49.8,62.2,
8,2014,75,19,5,1,40.4,53.5,
9,2014,74,19,6,1,49.5,56.1,
10,2014,67,22,10,1,45.2,53.8,
11,2014,68,21,10,1,49.7,53.5,
12,2014,72,17,9,2,55.3,71.3,
1,2015,79,14,6,1,99.8,100.4,
2,2015,85,12,3,0,99.8,102.8,
3,2015,79,18,2,1,75.4,89.3,
4,2015,72,21,6,1,50.5,71.6,
5,2015,77,19,3,1,50.3,73.5,
6,2015,76,19,4,1,50.3,71.3,
7,2015,67,22,9,2,49.8,59.3,
8,2015,64,25,10,1,49.6,54.4,
9,2015,70,21,8,1,50.1,65.6,
10,2015,72,21,7,0,59.8,72,
11,2015,75,19,5,1,50.3,67.6,
12,2015,74,20,5,1,50.3,72.4,
1,2016,72,18,10,0,55.3,74,
2,2016,76,16,7,1,74.7,82.4,
3,2016,80,14,4,2,99.6,93,
4,2016,77,17,5,1,75,82.9,
5,2016,72,22,4,2,50.2,67.9,
6,2016,72,21,5,2,49.9,65.6,
7,2016,71,24,4,1,50.1,66.5,
8,2016,64,30,5,1,39.5,54.6,
9,2016,69,25,5,1,49.7,57,
10,2016,71,22,5,2,49.7,63,
11,2016,67,25,7,1,29.5,47,
12,2016,60,32,7,1,24.6,46.1,
1,2017,62,29,8,1,29.7,47.3,
2,2017,62,27,10,1,20.4,46.2,
3,2017,57,33,9,1,15.3,42.5,
4,2017,62,30,7,1,24.7,45.3,
5,2017,61,29,9,1,20.2,42.7,
6,2017,64,28,7,1,25,43.4,
7,2017,59,34,6,1,19.7,44.3,
8,2017,61,31,7,1,19.6,37.1,
9,2017,62,29,8,1,20.5,43.7,
10,2017,59,32,7,2,19.8,37.4,
11,2017,61,30,8,1,16.4,36.9,
12,2017,62,33,5,0,20.2,41.1,
1,2018,68,24,7,1,25,41,
2,2018,63,29,6,2,24.6,38.4,
3,2018,62,33,4,1,19.5,37.9,
4,2018,61,34,5,0,19.7,36.8,
5,2018,69,24,6,1,25.3,43.4,
6,2018,68,23,8,1,30.2,48.1,
7,2018,64,28,6,2,24.6,43.8,
8,2018,64,27,7,2,24.6,40.6,
9,2018,62,34,3,1,20,38,
10,2018,66,26,7,1,20.4,38.7,
11,2018,64,29,5,2,20.3,36,
12,2018,60,33,5,2,18.4,37.6,
1,2019,64,29,5,2,25.2,46.3,
2,2019,62,30,6,2,24.9,44.9,
3,2019,60,33,6,1,17.7,37.7,
4,2019,63,31,4,2,24.9,39.3,
5,2019,66,26,7,1,20.4,38.9,
6,2019,62,31,6,1,20.4,39.7,
7,2019,64,28,6,2,20.4,39.8,
8,2019,60,33,5,2,19.7,32.9,
9,2019,58,35,6,1,14.8,35.8,
10,2019,60,33,5,2,20.3,40.4,
11,2019,59,33,6,2,15,30.6,
12,2019,58,35,6,1,13.4,35.1,
1,2020,63,28,6,3,24.5,42.2,
2,2020,60,33,5,2,17.3,33.9,
3,2020,55,35,7,3,12.7,33.4,
4,2020,72,19,7,2,50,63.5,
5,2020,80,13,6,1,65.1,75.9,
6,2020,75,20,3,2,50.1,67.3,
7,2020,65,29,5,1,25.2,46.6,
8,2020,64,29,7,0,25.2,41.5,
9,2020,56,36,6,2,15.4,35.5,
10,2020,55,35,7,3,13.1,34.5,
11,2020,61,30,5,4,24.8,49.1,
12,2020,66,27,6,1,30.3,56.1,
1,2021,70,25,4,1,49.5,60.7,
2,2021,78,15,6,1,50,75.4,
3,2021,75,19,6,0,50.3,79.2,
4,2021,73,21,5,1,50,73.1,
5,2021,80,15,5,0,50.1,75.5,
6,2021,66,23,10,1,25.5,57.3,
7,2021,69,21,9,1,40.3,57.2,
8,2021,70,19,9,2,39.6,53.8,
9,2021,68,23,8,1,40,58.3,
10,2021,67,22,11,0,25.3,51.5,
11,2021,67,20,11,2,49.6,64.7,
12,2021,55,24,18,3,20.2,45.5,
1,2022,62,24,12,2,29.9,51.9,
2,2022,63,23,12,2,27,50.3,
3,2022,60,16,21,3,49.5,53.7,
4,2022,45,23,31,1,0.3,28.4,
5,2022,47,20,30,3,0.4,21.1,
6,2022,45,17,35,3,0.3,31.4,
7,2022,37,23,38,2,0,10.9,
8,2022,40,28,29,3,0.2,22.6,
9,2022,42,33,22,3,0.3,34,
10,2022,52,26,18,4,14.7,46,
11,2022,51,29,18,2,9.6,37.6,
12,2022,50,29,19,2,7.1,43.9,
1,2023,51,36,12,1,5.3,51.8,
2,2023,54,32,13,1,10.1,42.7,
3,2023,52,34,12,2,9.8,45.5,
4,2023,56,29,12,3,22.7,49.2,
5,2023,60,26,11,3,29.6,49.3,
6,2023,55,29,12,4,19.6,44.7,
7,2023,50,35,12,3,6.8,39.1,
8,2023,56,29,11,4,19.7,47.6,
9,2023,57,27,13,3,24.9,47,
10,2023,56,26,15,3,20.3,41.3,
11,2023,61,27,10,2,34.7,51.4,
12,2023,54,31,12,3,19.8,41.6,
1,2024,52,32,14,2,12.9,38.7,
2,2024,54,35,8,3,11.3,43.2,
3,2024,50,36,13,1,4.9,33.8,
4,2024,51,32,13,4,10.4,37,
5,2024,58,28,12,2,20.3,38.8,
